Name,Number of youtube comments,Number of youtube views,Youtube likes,Youtube dislikes
Station Master Tama ,53,148728,351,3
Colonel Meow,950,890091,2480,789
Lil Bu,90,3710744,14031,1145
Henri,5877,8280649,59331,876
Maru,5817,11910297,51109,799
Grumpy Cat,17373,14566003,82504,1744
Keyboard cat ,66231,34455121,195400,9211
Nyan Cat,562375,106681028,831859,58536
