Name,Number of followers,Number of tweets
Station Master Tama ,0,0
Colonel Meow,8455,532
Lil bub,34600,1897
Henri,26900,959
Maru,16100,591
Grumpy Cat,135000,1636
Keyboard Cat ,15900,3191
Nyan Cat,187000,6753
