Name,Number of likes,Number of people talking about this
Station Master Tama ,1721,34
Colonel Meow,403019,25604
Lil Bub,647172,83589
Henri,152716,9012
Maru,99062,602
Grumpy Cat,3890342,543448
Keyboard Cat ,26216,37
Nyan Cat,2891657,186320 
